resp_flag,GEND,AART,ADBT,ADEP,AHBP,AHCH,ARES,AHRT,ADGS,AHRL,AVIS,BANK,FINI,INLI,INMEDI,INVE,IOLP,ONLA,SGFA,SGLL,SGOE,SGSE,SGTC,NOC19,NAH19,age,c210apvt,c210b200,c210blu,c210bpvt,c210cip,c210ebi,c210hmi,c210hva,c210kses,c210mah,c210mob,c210mys,c210pdv,c210pmr,c210poo,c210psu,c210pwc,c210wht,ilor,meda,pdpe,tins,zhip19
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,1,3,68,76,55,34,24,24,38,44,188,72,66,60,3,14,50,80,39,25,44,8,75,35,7,8
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,73,96,52,19,4,79,78,97,588,109,57,3,4,12,56,77,90,35,59,7,75,35,3,4
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,2,73,99,26,7,0,93,100,132,898,125,50,0,6,14,53,86,87,47,79,8,64,42,8,7
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,3,71,97,4,9,3,87,89,112,788,114,58,0,5,9,56,89,99,42,77,40,64,42,11,8
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,66,88,9,12,13,71,71,86,634,100,59,0,4,17,53,75,96,32,73,99,64,42,2,2
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,4,80,84,14,21,16,18,35,40,446,76,56,5,4,16,44,42,49,39,51,11,64,42,7,4
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,3,73,96,9,9,4,87,88,113,627,112,54,0,5,10,68,86,99,42,77,13,64,42,1,6
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,2,67,91,6,19,9,36,47,54,427,84,50,0,4,21,35,51,65,47,57,19,64,42,3,2
0,M,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,1,2,70,85,8,24,15,44,52,60,421,88,49,0,4,16,33,47,44,39,48,0,64,42,5,8
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,76,96,55,15,4,50,57,65,504,89,41,0,4,19,29,12,24,13,69,7,64,42,6,0
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,3,77,98,17,13,2,82,82,103,740,108,53,2,6,9,59,72,76,37,80,7,64,42,3,7
0,F,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,Y,2,1,79,81,14,25,19,21,39,42,133,70,48,0,3,23,39,49,88,48,49,27,52,59,13,2
0,F,N,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,4,1,67,86,24,28,14,28,42,47,196,80,56,0,4,16,52,58,94,34,55,1,61,46,6,0
0,F,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,Y,Y,0,1,75,68,5,24,32,18,36,40,138,71,39,0,4,22,34,24,32,48,58,8,52,59,9,0
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,0,1,67,71,3,38,29,26,41,46,108,69,47,0,3,18,29,50,83,62,28,7,43,66,7,1
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,73,91,6,17,9,40,49,57,391,82,62,0,4,23,40,41,75,25,54,6,62,37,4,0
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,1,73,94,33,9,6,62,63,76,382,92,56,0,4,20,48,55,88,28,77,7,75,35,2,5
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,74,92,47,22,8,90,64,78,191,89,53,4,4,21,48,79,94,37,65,17,25,59,8,0
